time_in_cycles,T50,P30,Ps30,Nc,NRf,phi,BPR,W32,htBleed,RUL
155,1419.23,551.6,47.96,9043.17,2388.26,520.22,8.4829,23.1345,395,33
156,1417.31,552.31,47.99,9031.69,2388.22,519.98,8.4754,23.1299,396,32
157,1419.84,551.98,47.82,9037.1,2388.25,520.51,8.4886,23.1102,394,31
158,1422.25,552.5,48.12,9031.25,2388.22,520.5,8.4734,23.1349,395,30
159,1417.03,552.26,47.82,9039.84,2388.24,520.73,8.492,23.1826,395,29
160,1423.05,551.56,47.87,9032.88,2388.22,520.61,8.489,23.1757,396,28
161,1422.93,552.35,47.89,9029.95,2388.26,520.42,8.4941,23.1045,395,27
162,1420.87,552.15,47.94,9042.03,2388.22,519.93,8.498,23.2763,395,26
163,1423.01,551.51,48.03,9037.4,2388.21,520.22,8.504,23.0995,394,25
164,1423.29,552.42,48.04,9038.27,2388.21,520.36,8.4686,23.1184,395,24
165,1423.5,551.82,48.06,9039.79,2388.29,520.42,8.4762,23.0665,395,23
166,1422.7,551.68,48.03,9045.6,2388.25,520.29,8.4985,23.1018,395,22
167,1425.97,551.98,48.03,9039.15,2388.28,520.23,8.4969,23.0509,396,21
168,1425.2,552.38,48.06,9028.0,2388.29,520.17,8.5203,23.0854,396,20
169,1426.68,552.08,48.07,9032.33,2388.23,520.27,8.4835,23.2095,394,19
170,1425.87,551.35,47.92,9029.79,2388.31,519.77,8.4852,23.1057,396,18
171,1423.31,551.38,48.09,9034.84,2388.23,520.44,8.5219,23.1045,396,17
172,1432.3,551.45,48.07,9033.2,2388.28,520.31,8.4793,23.1505,396,16
173,1423.89,551.37,48.05,9032.51,2388.24,519.93,8.4775,23.1312,396,15
174,1426.34,551.65,48.05,9032.1,2388.24,520.5,8.4756,23.1942,394,14
175,1427.35,551.53,48.17,9035.16,2388.27,520.12,8.5266,23.1005,396,13
176,1423.22,551.47,48.06,9035.85,2388.25,519.41,8.4994,23.1595,395,12
177,1421.52,551.5,48.21,9031.6,2388.28,520.17,8.4993,23.0286,397,11
178,1424.84,551.24,48.09,9032.87,2388.31,519.7,8.5091,23.0738,395,10
179,1424.83,551.62,48.11,9021.73,2388.3,519.37,8.5102,23.1191,397,9
180,1426.72,551.27,48.06,9030.67,2388.34,519.81,8.4948,23.1165,396,8
181,1430.56,551.46,48.15,9033.9,2388.32,519.71,8.48,23.1337,396,7
182,1423.81,551.95,48.34,9032.36,2388.35,519.84,8.5167,22.9966,396,6
183,1430.47,551.7,48.05,9035.7,2388.31,519.66,8.5294,23.0273,396,5
184,1432.22,551.31,48.07,9031.12,2388.3,519.42,8.4857,22.9949,397,4
185,1434.09,551.33,48.21,9035.51,2388.28,519.5,8.5261,23.1199,396,3
186,1430.37,550.59,48.27,9029.07,2388.36,519.8,8.5013,22.9396,395,2
187,1423.45,551.45,48.21,9035.79,2388.33,519.03,8.5324,23.0449,396,1
188,1434.92,550.7,48.21,9027.96,2388.34,518.98,8.5358,22.9577,397,0
1,1395.48,554.76,47.24,9071.27,2387.99,522.19,8.4081,23.4073,390,258
2,1395.97,553.97,47.0,9078.21,2388.02,522.3,8.4216,23.5043,391,257
3,1397.74,554.95,47.18,9063.37,2387.98,522.36,8.4258,23.4113,392,256
4,1397.85,553.3,47.07,9068.16,2388.06,522.09,8.4175,23.4616,392,255
5,1402.54,554.64,47.31,9066.99,2388.01,522.0,8.4099,23.4781,391,254
6,1403.1,553.89,47.29,9067.91,2388.0,521.89,8.406,23.394,392,253
7,1391.19,554.66,47.21,9069.13,2388.0,522.54,8.3984,23.349,392,252
8,1401.42,554.05,47.19,9064.8,2388.08,522.26,8.402,23.381,392,251
9,1401.77,554.31,47.23,9069.41,2388.04,521.78,8.3848,23.4429,392,250
10,1393.25,554.14,47.14,9065.28,2388.02,522.09,8.4222,23.3398,392,249
11,1393.96,554.11,47.39,9074.91,2387.98,522.12,8.3948,23.3074,392,248
12,1397.36,554.21,47.28,9071.72,2387.99,522.13,8.3766,23.3777,393,247
13,1392.15,554.61,47.17,9065.52,2388.01,522.55,8.4199,23.4383,391,246
14,1390.48,554.47,47.18,9067.42,2388.01,521.98,8.4196,23.4888,391,245
15,1398.41,554.02,47.24,9068.28,2388.0,521.89,8.3901,23.3772,393,244
16,1405.02,554.14,47.04,9073.41,2388.02,522.54,8.4122,23.3613,391,243
17,1397.63,554.94,47.34,9071.39,2387.99,522.02,8.419,23.404,390,242
18,1394.65,553.92,47.21,9073.12,2388.04,522.31,8.388,23.4165,392,241
19,1397.51,554.2,47.16,9065.77,2388.0,522.26,8.4216,23.4083,392,240
20,1395.92,554.26,47.22,9068.68,2388.02,522.61,8.4111,23.3776,392,239
21,1404.33,554.69,47.23,9071.68,2387.97,521.78,8.3926,23.3863,393,238
22,1394.58,554.63,47.25,9071.1,2388.0,522.02,8.3609,23.2512,393,237
23,1398.09,554.38,47.21,9067.09,2388.01,522.48,8.4143,23.3937,391,236
24,1398.75,553.84,47.3,9066.23,2388.02,522.65,8.4022,23.4204,391,235
25,1397.07,554.2,47.26,9072.66,2387.97,522.27,8.4361,23.3838,392,234
26,1401.19,554.88,47.12,9071.55,2388.01,522.7,8.3712,23.3981,393,233
27,1397.39,553.65,47.27,9069.54,2387.95,522.38,8.4167,23.4148,391,232
28,1405.38,553.65,47.21,9071.83,2388.02,521.65,8.4114,23.376,392,231
29,1396.71,555.01,47.13,9073.64,2388.01,522.52,8.3806,23.4833,393,230
30,1396.49,554.78,47.19,9069.39,2387.98,522.06,8.4228,23.4269,391,229
31,1402.76,554.51,47.14,9071.21,2388.01,522.51,8.4266,23.3568,393,228
32,1397.4,554.74,47.18,9075.17,2388.01,522.37,8.3815,23.359,393,227
33,1399.12,554.47,47.28,9065.57,2388.01,522.75,8.387,23.2902,392,226
34,1402.93,554.36,47.19,9054.44,2388.02,521.87,8.4168,23.4113,392,225
35,1409.12,554.6,47.3,9065.34,2387.96,522.72,8.4014,23.3942,392,224
36,1393.49,554.98,47.32,9066.31,2388.06,522.31,8.4154,23.4273,394,223
37,1400.55,554.36,47.12,9062.36,2387.99,522.42,8.4042,23.4181,394,222
38,1393.57,554.52,47.13,9068.9,2388.03,522.53,8.4168,23.4189,391,221
39,1403.52,554.04,47.35,9076.57,2388.01,522.05,8.4314,23.3436,392,220
40,1393.32,554.96,47.32,9063.64,2387.95,522.63,8.3988,23.4054,390,219
41,1406.12,554.64,47.08,9063.5,2388.05,522.49,8.401,23.3194,392,218
42,1398.14,554.05,47.21,9078.32,2388.01,522.68,8.4047,23.3355,393,217
43,1397.5,555.01,47.2,9066.91,2388.0,521.93,8.4454,23.3467,391,216
44,1398.15,554.95,47.31,9073.91,2387.98,522.52,8.4042,23.4205,392,215
45,1399.97,554.07,47.17,9071.53,2387.99,522.39,8.3894,23.4295,392,214
46,1405.02,554.9,47.42,9067.1,2387.97,522.22,8.3882,23.4833,392,213
47,1401.47,553.74,47.2,9058.35,2387.98,522.02,8.407,23.2798,391,212
48,1398.81,554.05,47.11,9066.88,2388.05,522.33,8.4164,23.3583,391,211
49,1396.88,554.21,47.33,9063.5,2387.99,522.03,8.4129,23.4089,391,210
50,1400.31,553.68,47.22,9073.14,2387.98,522.43,8.4159,23.5133,393,209
51,1397.42,553.66,47.41,9075.92,2388.03,522.55,8.4323,23.3101,392,208
52,1402.13,555.14,47.18,9071.36,2387.95,522.42,8.414,23.4335,392,207
53,1395.45,553.87,47.31,9068.45,2388.05,522.3,8.4169,23.3092,393,206
54,1400.98,553.78,47.41,9073.05,2387.98,522.21,8.4129,23.4177,392,205
55,1399.74,554.13,47.09,9069.34,2387.94,522.02,8.3869,23.42,392,204
56,1395.08,554.66,47.37,9064.3,2388.01,522.45,8.4122,23.2743,391,203
57,1398.43,553.87,47.25,9069.75,2388.08,522.5,8.41,23.3419,392,202
58,1400.97,555.14,47.19,9066.81,2388.0,523.0,8.383,23.2486,392,201
59,1397.92,554.73,47.29,9070.86,2387.99,521.81,8.433,23.4702,390,200
60,1396.21,554.44,47.24,9074.64,2388.0,521.99,8.3696,23.2723,390,199
61,1402.82,553.9,47.26,9068.88,2388.02,522.32,8.4018,23.4476,392,198
62,1390.39,553.81,47.29,9073.22,2387.97,522.74,8.4175,23.3247,391,197
63,1400.55,554.64,47.17,9062.13,2388.01,521.82,8.4172,23.3449,391,196
64,1399.36,554.43,47.28,9065.16,2387.98,521.96,8.4112,23.4167,392,195
65,1396.6,554.11,47.28,9071.37,2387.98,522.18,8.4259,23.5043,390,194
66,1399.23,554.53,47.42,9062.81,2387.94,522.88,8.4027,23.3637,393,193
67,1402.68,554.02,47.35,9070.66,2388.01,522.2,8.3811,23.2758,391,192
68,1395.57,554.02,47.17,9072.02,2388.05,521.64,8.393,23.4418,391,191
69,1403.5,554.47,47.36,9070.6,2387.97,522.14,8.4268,23.3819,392,190
70,1399.04,554.01,47.25,9063.46,2388.05,521.82,8.363,23.447,391,189
71,1398.9,554.66,47.37,9068.88,2388.01,522.31,8.3882,23.406,391,188
72,1406.47,554.88,47.1,9066.14,2388.01,522.54,8.4404,23.3463,391,187
73,1401.72,554.39,47.12,9066.59,2388.06,521.77,8.4095,23.4238,392,186
74,1407.77,553.65,47.28,9073.81,2388.01,522.51,8.41,23.4331,394,185
75,1402.11,554.73,47.52,9068.74,2388.01,522.01,8.3808,23.372,392,184
76,1407.16,554.14,47.36,9075.29,2388.01,522.26,8.3883,23.4115,390,183
77,1400.6,554.47,47.29,9072.36,2387.99,522.27,8.4149,23.3784,392,182
78,1399.64,554.86,47.33,9065.49,2388.05,522.03,8.4278,23.501,392,181
79,1404.99,553.91,47.2,9070.11,2388.01,521.78,8.45,23.3182,392,180
80,1402.29,553.99,47.28,9067.14,2388.05,522.23,8.4374,23.4108,392,179
81,1408.11,554.77,47.3,9072.96,2388.01,522.41,8.402,23.4851,392,178
82,1398.88,554.92,47.27,9072.86,2388.02,522.36,8.4272,23.3642,392,177
83,1406.01,554.04,47.32,9062.67,2388.01,522.3,8.4268,23.3892,392,176
84,1400.85,553.75,47.13,9072.09,2388.03,522.25,8.4321,23.3648,392,175
85,1402.17,554.85,47.22,9068.09,2388.05,522.29,8.3837,23.3774,393,174
86,1397.76,555.11,47.34,9070.16,2388.04,522.19,8.3789,23.2998,392,173
87,1404.01,554.16,47.37,9074.03,2388.0,522.15,8.404,23.43,392,172
88,1402.65,553.25,47.31,9073.29,2388.02,522.26,8.4294,23.2949,392,171
89,1397.17,554.59,47.4,9066.73,2388.03,521.95,8.4486,23.416,392,170
90,1402.41,554.92,47.22,9067.93,2388.05,522.44,8.4045,23.3656,393,169
91,1396.28,553.72,47.22,9072.14,2387.94,521.88,8.3933,23.2491,393,168
92,1397.32,554.28,47.35,9067.38,2388.02,521.89,8.3913,23.4673,392,167
93,1402.29,554.17,47.43,9076.52,2388.05,522.23,8.4343,23.3579,393,166
94,1401.99,554.2,47.31,9067.34,2388.0,522.37,8.4131,23.2955,393,165
95,1400.37,554.65,47.31,9066.23,2388.0,522.32,8.4025,23.4575,391,164
96,1392.46,554.1,47.39,9072.33,2388.04,522.64,8.4236,23.4586,392,163
97,1401.32,553.96,47.2,9070.45,2388.05,522.02,8.4003,23.3957,392,162
98,1400.02,553.65,47.14,9069.65,2387.98,522.52,8.4259,23.2952,392,161
99,1402.16,554.15,47.51,9074.67,2388.0,521.81,8.4309,23.4321,392,160
100,1402.89,554.86,47.32,9070.04,2387.98,521.84,8.4359,23.3657,391,159
101,1400.18,553.94,47.31,9070.62,2388.04,522.53,8.4318,23.3621,392,158
102,1395.88,554.68,47.34,9071.56,2388.03,522.4,8.4509,23.3109,392,157
103,1405.56,554.22,47.31,9068.31,2388.09,521.74,8.3895,23.4005,392,156
104,1394.15,553.65,47.27,9063.86,2388.02,522.0,8.43,23.2999,392,155
105,1401.92,554.37,47.3,9079.02,2388.06,522.04,8.3575,23.3385,393,154
106,1409.0,554.22,47.19,9068.99,2388.01,522.88,8.4244,23.4925,392,153
107,1402.69,554.15,47.26,9072.66,2388.01,522.24,8.4425,23.3755,393,152
108,1401.06,554.13,47.34,9075.56,2387.96,522.64,8.3605,23.1841,391,151
109,1395.74,554.65,47.27,9072.98,2388.03,522.46,8.3714,23.3796,392,150
110,1414.46,554.33,47.27,9072.55,2388.06,522.15,8.4191,23.3376,391,149
111,1402.57,554.17,47.07,9070.54,2388.04,522.13,8.4636,23.4173,392,148
112,1399.47,554.46,47.08,9070.71,2387.98,521.74,8.3952,23.2612,392,147
113,1402.84,554.2,47.41,9071.13,2388.08,521.62,8.4005,23.402,392,146
114,1405.78,554.95,47.27,9074.17,2388.02,522.17,8.4296,23.3857,393,145
115,1405.25,553.3,47.49,9065.46,2388.02,521.37,8.4168,23.3281,394,144
116,1400.08,554.0,47.36,9069.41,2388.03,522.25,8.3865,23.348,394,143
117,1396.29,554.1,47.41,9065.86,2388.1,522.23,8.3981,23.3375,394,142
118,1396.89,554.32,47.38,9072.27,2388.09,521.46,8.416,23.2085,391,141
119,1400.87,553.82,47.27,9068.05,2388.02,522.02,8.4061,23.3169,392,140
120,1397.46,553.51,47.26,9071.64,2388.02,522.0,8.4042,23.3628,390,139
121,1408.25,554.3,47.27,9067.31,2388.06,522.07,8.4364,23.4142,393,138
122,1403.24,554.64,47.46,9063.65,2388.05,521.76,8.4226,23.4416,393,137
123,1400.06,553.78,47.33,9067.19,2388.05,522.12,8.411,23.3709,391,136
124,1408.2,553.23,47.42,9072.88,2388.02,521.63,8.4018,23.3578,392,135
125,1402.5,553.96,47.43,9067.53,2388.08,521.7,8.3899,23.3456,392,134
126,1397.52,553.59,47.42,9070.67,2388.02,522.16,8.3736,23.34,393,133
127,1402.39,553.71,47.41,9069.47,2388.03,521.89,8.4232,23.4135,392,132
128,1396.92,553.9,47.39,9072.15,2388.01,521.6,8.4411,23.3882,391,131
129,1400.77,553.95,47.26,9069.0,2388.01,521.83,8.4104,23.2436,391,130
130,1406.97,554.12,47.24,9070.22,2388.01,521.91,8.3917,23.3635,392,129
131,1403.05,554.21,47.31,9070.12,2388.03,522.42,8.3861,23.3784,392,128
132,1408.8,553.78,47.43,9066.72,2388.06,521.71,8.401,23.3978,393,127
133,1398.76,554.34,47.37,9069.62,2388.05,521.91,8.4459,23.2516,393,126
134,1406.99,554.34,47.14,9077.65,2388.09,521.67,8.443,23.3091,393,125
135,1405.56,553.93,47.39,9077.44,2388.03,521.74,8.3877,23.3403,392,124
136,1405.32,553.76,47.46,9076.53,2388.02,521.98,8.4344,23.4535,393,123
137,1399.57,553.59,47.44,9070.37,2388.06,521.78,8.3974,23.3354,393,122
138,1410.62,553.56,47.28,9088.71,2388.06,521.56,8.4162,23.3105,393,121
139,1407.34,554.32,47.38,9069.66,2388.03,521.52,8.3992,23.3539,392,120
140,1397.47,554.19,47.53,9071.97,2387.99,521.99,8.4104,23.3992,392,119
141,1405.95,554.37,47.49,9062.63,2388.08,522.03,8.4209,23.3839,392,118
142,1408.17,554.43,47.5,9067.92,2388.02,522.12,8.4346,23.2755,393,117
143,1411.66,553.98,47.41,9062.89,2388.04,521.4,8.4113,23.3028,393,116
144,1401.53,553.87,47.51,9072.82,2388.09,521.75,8.4157,23.3975,394,115
145,1398.66,554.4,47.44,9068.35,2388.08,521.96,8.3993,23.2129,393,114
146,1404.55,554.03,47.38,9072.51,2388.05,521.78,8.419,23.2878,394,113
147,1408.84,553.91,47.38,9073.7,2388.06,521.46,8.4228,23.3109,392,112
148,1405.2,552.93,47.45,9074.11,2388.07,522.17,8.4309,23.3841,393,111
149,1406.22,553.88,47.46,9073.7,2388.07,521.6,8.4117,23.3419,393,110
150,1408.45,553.38,47.46,9067.38,2388.05,521.91,8.4593,23.3603,393,109
151,1399.54,553.87,47.61,9076.04,2388.01,521.64,8.4323,23.3556,392,108
152,1397.99,553.85,47.36,9072.73,2388.01,521.89,8.4056,23.3601,392,107
153,1402.57,554.08,47.54,9069.91,2388.0,521.54,8.4617,23.3405,394,106
154,1415.0,553.96,47.41,9067.68,2388.04,522.12,8.4617,23.4095,393,105
155,1405.93,554.02,47.42,9074.46,2388.04,521.87,8.438,23.3537,393,104
156,1401.34,553.66,47.59,9072.19,2388.04,521.92,8.4213,23.2509,395,103
157,1404.74,553.46,47.54,9071.29,2388.06,521.3,8.4561,23.3419,393,102
158,1403.17,553.79,47.59,9070.42,2388.07,521.71,8.4214,23.2451,392,101
159,1405.59,553.68,47.62,9062.7,2388.04,521.97,8.4538,23.2677,393,100
160,1408.8,553.73,47.27,9076.13,2388.03,521.81,8.4317,23.2458,393,99
161,1407.45,554.02,47.45,9068.22,2388.02,521.95,8.4413,23.3433,393,98
162,1416.62,554.24,47.64,9072.74,2388.08,522.26,8.4535,23.3432,393,97
163,1410.41,553.87,47.56,9074.77,2388.04,521.35,8.4294,23.3671,393,96
164,1413.34,553.68,47.59,9074.82,2388.1,521.42,8.4141,23.3462,395,95
165,1408.63,553.88,47.34,9067.5,2388.11,521.74,8.4178,23.3804,393,94
166,1408.71,553.31,47.3,9070.34,2388.04,521.61,8.4383,23.3879,393,93
167,1401.69,554.11,47.67,9072.18,2388.08,521.65,8.4419,23.2703,393,92
168,1406.7,553.21,47.43,9068.51,2388.05,521.35,8.4295,23.2428,393,91
169,1405.6,554.35,47.63,9078.0,2388.02,522.64,8.4133,23.3726,390,90
170,1410.37,553.16,47.26,9067.29,2388.05,521.78,8.4452,23.3247,393,89
171,1405.96,553.5,47.35,9067.28,2388.13,521.78,8.4461,23.3403,393,88
172,1406.01,553.69,47.62,9081.88,2388.1,521.78,8.445,23.3599,393,87
173,1414.03,552.99,47.5,9076.38,2388.08,521.48,8.4491,23.2075,393,86
174,1397.74,553.78,47.57,9067.96,2388.03,521.19,8.4332,23.2779,391,85
175,1412.11,553.42,47.66,9077.87,2388.13,521.59,8.4237,23.1631,394,84
176,1415.24,553.17,47.48,9072.06,2388.04,521.06,8.428,23.2682,393,83
177,1410.93,553.6,47.38,9071.16,2388.07,521.66,8.4442,23.3785,394,82
178,1411.27,553.2,47.49,9076.86,2388.09,521.47,8.3954,23.3998,391,81
179,1400.94,553.07,47.7,9072.62,2388.1,521.34,8.4465,23.3864,393,80
180,1405.0,553.18,47.45,9068.39,2388.05,522.0,8.4947,23.2174,393,79
181,1412.01,553.78,47.54,9074.8,2388.12,521.47,8.47,23.2754,394,78
182,1408.38,553.55,47.54,9063.63,2388.08,521.48,8.4141,23.2421,394,77
183,1410.52,552.82,47.54,9075.35,2388.05,521.5,8.4391,23.2958,392,76
184,1411.6,553.19,47.31,9068.83,2388.08,521.22,8.4299,23.2048,393,75
185,1404.86,553.48,47.61,9072.38,2388.05,521.51,8.4591,23.3153,394,74
186,1403.32,553.17,47.7,9076.96,2388.07,521.22,8.4367,23.2934,393,73
187,1411.99,553.52,47.7,9069.43,2388.11,521.34,8.4262,23.2253,393,72
188,1412.29,553.51,47.67,9070.92,2388.1,521.14,8.4576,23.2395,394,71
189,1412.55,553.24,47.42,9077.06,2388.08,521.13,8.4633,23.1979,393,70
190,1415.28,553.74,47.58,9068.88,2388.07,521.61,8.4669,23.257,394,69
191,1411.57,553.03,47.58,9076.52,2388.07,520.54,8.4436,23.2104,394,68
192,1410.83,552.67,47.47,9071.04,2388.05,521.58,8.436,23.3127,393,67
193,1409.17,553.42,47.81,9067.94,2388.06,521.3,8.4052,23.2723,394,66
194,1405.47,552.63,47.47,9076.56,2388.13,521.59,8.4198,23.2208,395,65
195,1412.3,552.33,47.66,9072.35,2388.09,521.07,8.4353,23.2506,395,64
196,1414.59,553.03,47.64,9069.95,2388.07,520.89,8.5004,23.2805,394,63
197,1411.61,553.37,47.54,9070.76,2388.1,521.09,8.4694,23.2351,395,62
198,1407.03,552.71,47.59,9074.19,2388.13,521.46,8.4257,23.2046,395,61
199,1406.95,553.53,47.62,9069.99,2388.11,521.57,8.4145,23.3473,395,60
200,1415.32,553.4,47.71,9079.46,2388.09,520.7,8.4652,23.317,394,59
201,1410.91,553.07,47.44,9073.47,2388.11,521.37,8.4671,23.1116,393,58
202,1417.06,553.13,47.55,9072.36,2388.11,521.1,8.4857,23.3375,393,57
203,1411.74,552.47,47.66,9079.01,2388.07,521.47,8.4414,23.288,393,56
204,1417.15,552.96,47.59,9080.23,2388.14,521.02,8.5011,23.3043,394,55
205,1415.44,552.95,47.58,9076.54,2388.1,521.62,8.4619,23.2074,393,54
206,1403.14,553.47,47.42,9077.9,2388.16,520.93,8.4322,23.2442,395,53
207,1413.89,552.98,47.81,9075.3,2388.08,521.11,8.4815,23.3537,395,52
208,1407.37,553.58,47.65,9074.26,2388.09,520.94,8.4694,23.2286,395,51
209,1418.83,552.4,47.72,9074.58,2388.09,520.96,8.4664,23.3284,396,50
210,1418.31,553.14,47.76,9077.56,2388.17,521.08,8.461,23.2624,394,49
211,1419.64,553.14,47.58,9070.89,2388.14,521.24,8.4667,23.2027,394,48
212,1411.21,552.58,47.84,9081.14,2388.09,521.24,8.4574,23.2246,395,47
213,1414.91,553.05,47.96,9068.6,2388.11,521.05,8.4807,23.1737,395,46
214,1415.25,553.41,47.74,9070.02,2388.13,521.44,8.4723,23.2265,395,45
215,1417.42,552.95,47.94,9079.45,2388.07,521.17,8.4582,23.2131,394,44
216,1418.23,553.47,47.78,9070.43,2388.15,520.7,8.4858,23.2425,396,43
217,1418.59,552.24,47.71,9070.89,2388.13,521.18,8.4958,23.1888,396,42
218,1418.41,552.67,47.76,9076.18,2388.07,521.2,8.4701,23.0657,395,41
219,1417.93,552.44,47.83,9067.62,2388.13,520.96,8.4666,23.182,395,40
220,1416.42,553.2,47.75,9073.62,2388.16,520.9,8.4495,23.1952,395,39
221,1416.66,552.35,47.76,9074.2,2388.16,521.51,8.4509,23.2386,397,38
222,1416.17,552.45,47.89,9078.43,2388.14,521.0,8.485,23.2318,395,37
223,1411.45,553.06,47.95,9079.03,2388.1,520.98,8.4877,23.1761,395,36
224,1423.7,552.49,47.79,9073.05,2388.17,521.02,8.4729,23.2119,395,35
225,1404.63,552.11,47.58,9072.91,2388.15,520.3,8.4919,23.1872,395,34
226,1417.37,552.49,47.77,9076.72,2388.17,520.7,8.4716,23.1233,395,33
227,1416.6,551.9,47.98,9080.86,2388.17,520.73,8.4869,23.2282,395,32
228,1423.21,552.01,47.69,9068.85,2388.14,520.44,8.4711,23.275,393,31
229,1418.82,552.58,47.76,9073.5,2388.17,520.43,8.5182,23.0911,395,30
230,1418.61,551.88,47.86,9077.31,2388.12,520.55,8.4526,23.1294,395,29
231,1415.67,553.04,47.8,9065.62,2388.17,520.54,8.477,23.1564,395,28
232,1412.12,552.42,47.92,9076.22,2388.19,520.45,8.4756,23.0741,396,27
233,1420.78,551.64,47.88,9072.86,2388.16,519.43,8.5079,23.2648,394,26
234,1424.95,552.84,47.83,9080.03,2388.22,520.55,8.46,23.1713,396,25
235,1419.33,552.44,47.84,9075.23,2388.19,520.6,8.4973,23.1397,395,24
236,1417.66,552.6,47.91,9079.14,2388.18,520.92,8.4736,23.1665,395,23
237,1414.51,551.59,48.03,9076.52,2388.15,520.6,8.5253,23.1135,392,22
238,1419.91,552.25,47.89,9076.16,2388.12,520.49,8.4559,23.1676,395,21
239,1427.17,552.56,47.94,9073.46,2388.17,519.61,8.4994,23.2434,396,20
240,1432.67,551.48,47.95,9067.35,2388.18,520.18,8.4763,23.071,395,19
241,1431.51,552.52,47.95,9075.25,2388.24,520.26,8.5086,23.1039,396,18
242,1420.94,551.63,47.82,9069.47,2388.23,520.3,8.4831,23.1649,394,17
243,1417.37,551.88,48.05,9070.96,2388.16,520.17,8.517,22.9398,396,16
244,1428.04,551.49,47.94,9075.06,2388.17,520.26,8.5106,23.1399,397,15
245,1426.25,551.82,47.92,9080.51,2388.16,519.86,8.5085,23.1415,396,14
246,1433.13,552.23,48.16,9075.19,2388.2,519.97,8.4742,23.0662,395,13
247,1424.71,551.26,48.13,9084.92,2388.21,520.15,8.5149,23.1767,396,12
248,1427.14,552.06,47.9,9080.02,2388.24,519.58,8.5117,23.0795,397,11
249,1422.5,552.73,48.02,9082.19,2388.23,520.01,8.4859,23.073,396,10
250,1421.79,551.2,48.07,9071.1,2388.22,519.54,8.4925,23.1371,397,9
251,1427.83,551.43,48.03,9081.49,2388.23,520.21,8.5101,23.0912,396,8
252,1436.55,551.21,48.3,9074.07,2388.22,519.47,8.5229,23.1259,396,7
253,1421.13,551.61,48.26,9070.56,2388.23,519.5,8.5007,23.0652,397,6
254,1423.7,551.12,47.98,9075.33,2388.27,519.48,8.5627,23.0196,398,5
255,1422.76,551.17,48.15,9076.94,2388.2,519.88,8.5001,23.0458,395,4
256,1428.37,551.31,47.96,9074.79,2388.23,520.21,8.5104,23.126,395,3
257,1421.92,551.28,48.35,9077.77,2388.23,519.65,8.5367,23.0286,396,2
258,1425.91,551.59,48.05,9075.18,2388.23,519.06,8.5369,22.9854,396,1
259,1435.04,551.97,47.97,9075.94,2388.24,519.1,8.5162,23.0596,396,0
1,1409.75,552.31,47.3,9048.66,2388.13,521.23,8.4808,23.3468,393,149
2,1410.81,552.74,47.62,9040.66,2388.13,521.82,8.4209,23.2926,392,148
3,1403.29,552.79,47.51,9045.01,2388.12,521.52,8.4497,23.1812,393,147
4,1406.11,552.13,47.68,9049.45,2388.12,521.25,8.4405,23.2371,393,146
5,1409.34,553.61,47.53,9043.0,2388.15,521.5,8.4029,23.2975,392,145
6,1418.06,552.32,47.55,9045.24,2388.14,521.07,8.4505,23.2799,394,144
7,1404.52,553.54,47.28,9042.79,2388.13,521.14,8.4438,23.3545,392,143
8,1407.11,552.97,47.38,9040.27,2388.21,521.9,8.4281,23.2232,394,142
9,1413.87,552.61,47.53,9037.14,2388.15,521.17,8.4758,23.2721,392,141
10,1406.7,553.56,47.59,9040.35,2388.14,521.1,8.4599,23.2683,395,140
11,1419.87,554.04,47.69,9040.86,2388.14,521.0,8.4549,23.2842,392,139
12,1406.39,553.47,47.65,9042.47,2388.11,521.18,8.4522,23.2671,394,138
13,1407.31,553.57,47.35,9042.18,2388.1,521.36,8.4268,23.357,395,137
14,1413.77,553.13,47.53,9048.68,2388.15,521.1,8.4481,23.3671,394,136
15,1411.97,553.06,47.62,9043.81,2388.16,521.48,8.4934,23.3259,390,135
16,1410.4,553.15,47.57,9039.37,2388.17,522.08,8.4631,23.2899,392,134
17,1403.1,553.48,47.62,9038.3,2388.12,521.25,8.4208,23.2522,392,133
18,1409.63,552.95,47.71,9042.87,2388.1,521.19,8.4579,23.2242,393,132
19,1406.79,553.75,47.61,9037.76,2388.07,521.0,8.4433,23.2057,392,131
20,1405.38,553.09,47.41,9045.77,2388.11,521.75,8.4265,23.2556,395,130
21,1400.16,553.73,47.51,9041.03,2388.14,520.86,8.4506,23.3172,392,129
22,1412.59,553.2,47.6,9050.28,2388.11,521.51,8.4327,23.2675,394,128
23,1415.98,553.14,47.54,9035.26,2388.08,521.28,8.4517,23.1853,392,127
24,1406.58,552.85,47.53,9048.23,2388.11,521.63,8.4348,23.3129,391,126
25,1410.56,553.29,47.73,9043.13,2388.09,521.75,8.4432,23.2746,393,125
26,1405.69,553.07,47.38,9045.98,2388.16,521.88,8.4056,23.2902,394,124
27,1413.37,553.4,47.57,9043.12,2388.2,520.65,8.4211,23.2324,393,123
28,1411.85,553.68,47.43,9045.72,2388.1,520.94,8.4334,23.2601,393,122
29,1407.7,553.01,47.57,9044.98,2388.15,521.34,8.4479,23.3099,392,121
30,1400.07,552.45,47.59,9044.89,2388.14,521.26,8.4222,23.3215,393,120
31,1410.45,553.64,47.59,9044.91,2388.12,521.59,8.4893,23.3203,393,119
32,1413.85,552.92,47.42,9049.25,2388.17,521.58,8.4686,23.2709,394,118
